gene	con2.bam
ENSMUSG00000000001	707
ENSMUSG00000000003	0
ENSMUSG00000000028	32
ENSMUSG00000000037	17
ENSMUSG00000000049	9
ENSMUSG00000000056	1127
ENSMUSG00000000058	370
ENSMUSG00000000078	1398
ENSMUSG00000000085	936
ENSMUSG00000000088	3164
ENSMUSG00000000093	39
ENSMUSG00000000094	5
ENSMUSG00000000103	0
ENSMUSG00000000120	18
ENSMUSG00000000125	36
ENSMUSG00000000126	638
ENSMUSG00000000127	478
ENSMUSG00000000131	2564
ENSMUSG00000000134	1272
ENSMUSG00000000142	703
ENSMUSG00000000148	506
ENSMUSG00000000149	1864
ENSMUSG00000000154	19
ENSMUSG00000000157	0
ENSMUSG00000000159	3
ENSMUSG00000000167	63
ENSMUSG00000000168	2086
ENSMUSG00000000171	2205
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	1751
ENSMUSG00000000194	1539
ENSMUSG00000000197	2494
ENSMUSG00000000202	691
ENSMUSG00000000204	1
ENSMUSG00000000214	129
ENSMUSG00000000215	0
ENSMUSG00000000216	0
ENSMUSG00000000223	2531
ENSMUSG00000000244	1
ENSMUSG00000000247	1665
ENSMUSG00000000248	0
ENSMUSG00000000253	1168
ENSMUSG00000000263	2
ENSMUSG00000000266	510
ENSMUSG00000000275	183
ENSMUSG00000000276	2089
ENSMUSG00000000278	366
ENSMUSG00000000282	902
ENSMUSG00000000290	136
ENSMUSG00000000295	370
ENSMUSG00000000296	535
ENSMUSG00000000301	75
ENSMUSG00000000303	119
ENSMUSG00000000305	801
ENSMUSG00000000308	8993
ENSMUSG00000000317	78
ENSMUSG00000000318	53
ENSMUSG00000000320	19
ENSMUSG00000000325	1103
ENSMUSG00000000326	1823
ENSMUSG00000000339	1231
ENSMUSG00000000340	393
ENSMUSG00000000346	3147
ENSMUSG00000000355	778
ENSMUSG00000000359	11
ENSMUSG00000000365	3
ENSMUSG00000000374	2378
ENSMUSG00000000378	1156
ENSMUSG00000000381	0
ENSMUSG00000000384	771
ENSMUSG00000000385	2
ENSMUSG00000000386	9
ENSMUSG00000000392	73
ENSMUSG00000000394	2
ENSMUSG00000000399	2798
ENSMUSG00000000402	21
ENSMUSG00000000409	52
ENSMUSG00000000411	6
ENSMUSG00000000416	2064
ENSMUSG00000000420	906
ENSMUSG00000000435	0
ENSMUSG00000000439	688
ENSMUSG00000000440	87
ENSMUSG00000000441	799
ENSMUSG00000000486	50
ENSMUSG00000000489	864
ENSMUSG00000000530	648
ENSMUSG00000000531	1719
ENSMUSG00000000532	3488
ENSMUSG00000000538	8406
ENSMUSG00000000544	0
ENSMUSG00000000552	1973
ENSMUSG00000000555	70
ENSMUSG00000000560	3289
ENSMUSG00000000561	1254
ENSMUSG00000000562	20
ENSMUSG00000000563	5315
ENSMUSG00000000567	683
ENSMUSG00000000568	3149
ENSMUSG00000000579	3
ENSMUSG00000000581	735
ENSMUSG00000000594	2150
ENSMUSG00000000600	1133
ENSMUSG00000000605	5015
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	1533
ENSMUSG00000000628	121
ENSMUSG00000000631	6004
ENSMUSG00000000632	6911
ENSMUSG00000000673	8
ENSMUSG00000000682	46
ENSMUSG00000000686	6
ENSMUSG00000000690	0
ENSMUSG00000000693	125
ENSMUSG00000000701	0
ENSMUSG00000000706	0
ENSMUSG00000000708	329
ENSMUSG00000000711	2810
ENSMUSG00000000724	2
ENSMUSG00000000730	4
ENSMUSG00000000731	0
ENSMUSG00000000732	57
ENSMUSG00000000738	1540
ENSMUSG00000000739	4
ENSMUSG00000000740	382
ENSMUSG00000000743	2586
ENSMUSG00000000751	1080
ENSMUSG00000000753	509
ENSMUSG00000000759	1090
ENSMUSG00000000766	18
ENSMUSG00000000776	685
ENSMUSG00000000782	124
ENSMUSG00000000787	4698
ENSMUSG00000000791	25
ENSMUSG00000000792	205
ENSMUSG00000000794	557
ENSMUSG00000000804	3930
ENSMUSG00000000805	1041
ENSMUSG00000000811	147
ENSMUSG00000000817	0
ENSMUSG00000000823	1509
ENSMUSG00000000826	9758
ENSMUSG00000000827	1613
ENSMUSG00000000838	1221
ENSMUSG00000000861	2347
ENSMUSG00000000869	264
ENSMUSG00000000876	496
ENSMUSG00000000881	7148
ENSMUSG00000000884	83
ENSMUSG00000000889	25
ENSMUSG00000000901	42
ENSMUSG00000000902	1850
ENSMUSG00000000903	2
ENSMUSG00000000915	2858
ENSMUSG00000000916	290
ENSMUSG00000000934	401
ENSMUSG00000000938	0
ENSMUSG00000000942	0
ENSMUSG00000000948	111
ENSMUSG00000000957	619
ENSMUSG00000000958	64
ENSMUSG00000000959	1279
ENSMUSG00000000976	394
ENSMUSG00000000982	6
ENSMUSG00000000983	14
ENSMUSG00000001014	60
ENSMUSG00000001016	2340
ENSMUSG00000001017	3114
ENSMUSG00000001018	1255
ENSMUSG00000001020	3
ENSMUSG00000001021	9
ENSMUSG00000001023	0
ENSMUSG00000001025	674
ENSMUSG00000001027	0
ENSMUSG00000001029	100
ENSMUSG00000001034	580
ENSMUSG00000001036	3185
ENSMUSG00000001039	444
ENSMUSG00000001052	1569
ENSMUSG00000001053	498
ENSMUSG00000001054	1334
ENSMUSG00000001056	1286
ENSMUSG00000001062	1549
ENSMUSG00000001065	347
ENSMUSG00000001076	0
ENSMUSG00000001082	423
ENSMUSG00000001089	1829
ENSMUSG00000001095	0
ENSMUSG00000001098	751
ENSMUSG00000001100	2943
ENSMUSG00000001103	93
ENSMUSG00000001105	1506
ENSMUSG00000001119	3104
ENSMUSG00000001120	1479
ENSMUSG00000001123	233
ENSMUSG00000001127	3224
ENSMUSG00000001128	243
ENSMUSG00000001131	27
ENSMUSG00000001134	90
ENSMUSG00000001138	816
ENSMUSG00000001143	1084
ENSMUSG00000001150	1628
ENSMUSG00000001151	924
ENSMUSG00000001155	5
ENSMUSG00000001156	506
ENSMUSG00000001157	586
ENSMUSG00000001158	1022
ENSMUSG00000001166	35
ENSMUSG00000001168	0
ENSMUSG00000001173	1691
ENSMUSG00000001175	88810
ENSMUSG00000001211	7310
ENSMUSG00000001225	6
ENSMUSG00000001227	2704
ENSMUSG00000001228	52
ENSMUSG00000001229	2076
ENSMUSG00000001240	406
ENSMUSG00000001247	278
ENSMUSG00000001248	3754
ENSMUSG00000001249	43
ENSMUSG00000001260	483
ENSMUSG00000001270	19543
ENSMUSG00000001280	554
ENSMUSG00000001281	18
ENSMUSG00000001285	715
ENSMUSG00000001288	268
ENSMUSG00000001289	3613
ENSMUSG00000001300	1790
ENSMUSG00000001305	232
ENSMUSG00000001313	2982
ENSMUSG00000001323	1876
ENSMUSG00000001333	34
ENSMUSG00000001334	2236
ENSMUSG00000001348	15
ENSMUSG00000001349	43
ENSMUSG00000001366	2105
ENSMUSG00000001376	1577
ENSMUSG00000001380	3184
ENSMUSG00000001383	7752
ENSMUSG00000001403	17
ENSMUSG00000001415	3383
ENSMUSG00000001416	3198
ENSMUSG00000001418	1194
ENSMUSG00000001419	6446
ENSMUSG00000001420	9
ENSMUSG00000001424	2057
ENSMUSG00000001435	166
ENSMUSG00000001436	328
ENSMUSG00000001440	5116
ENSMUSG00000001441	3588
ENSMUSG00000001444	5
ENSMUSG00000001445	1427
ENSMUSG00000001467	1926
ENSMUSG00000001472	22242
ENSMUSG00000001473	176
ENSMUSG00000001482	1204
ENSMUSG00000001493	15
ENSMUSG00000001494	8
ENSMUSG00000001496	19
ENSMUSG00000001497	0
ENSMUSG00000001504	0
ENSMUSG00000001506	491
ENSMUSG00000001507	551
ENSMUSG00000001508	20
ENSMUSG00000001510	0
ENSMUSG00000001517	35
ENSMUSG00000001518	495
ENSMUSG00000001520	307
ENSMUSG00000001521	413
ENSMUSG00000001524	299
ENSMUSG00000001525	19610
ENSMUSG00000001542	523
ENSMUSG00000001552	1356
ENSMUSG00000001555	181
ENSMUSG00000001558	10
ENSMUSG00000001566	0
ENSMUSG00000001569	886
ENSMUSG00000001576	3069
ENSMUSG00000001583	4
ENSMUSG00000001588	2
ENSMUSG00000001604	14
ENSMUSG00000001622	0
ENSMUSG00000001627	1055
ENSMUSG00000001630	519
ENSMUSG00000001632	877
ENSMUSG00000001642	101
ENSMUSG00000001655	0
ENSMUSG00000001656	0
ENSMUSG00000001657	0
ENSMUSG00000001661	0
ENSMUSG00000001663	132
ENSMUSG00000001665	23
ENSMUSG00000001666	421
ENSMUSG00000001670	2
ENSMUSG00000001672	6
ENSMUSG00000001674	203
ENSMUSG00000001687	2967
ENSMUSG00000001700	492
ENSMUSG00000001707	388
ENSMUSG00000001729	4527
ENSMUSG00000001739	6
ENSMUSG00000001741	43
ENSMUSG00000001750	378
ENSMUSG00000001751	316
ENSMUSG00000001755	906
ENSMUSG00000001761	333
ENSMUSG00000001763	679
ENSMUSG00000001767	554
ENSMUSG00000001768	819
ENSMUSG00000001773	74
ENSMUSG00000001774	1525
ENSMUSG00000001783	3015
ENSMUSG00000001785	545
ENSMUSG00000001786	1049
ENSMUSG00000001794	5299
ENSMUSG00000001802	2607
ENSMUSG00000001804	0
ENSMUSG00000001815	0
ENSMUSG00000001819	0
ENSMUSG00000001823	0
ENSMUSG00000001827	7
ENSMUSG00000001829	1982
ENSMUSG00000001833	11231
ENSMUSG00000001844	522
ENSMUSG00000001847	6288
ENSMUSG00000001855	727
ENSMUSG00000001864	214
ENSMUSG00000001865	5
ENSMUSG00000001870	258
ENSMUSG00000001891	2079
ENSMUSG00000001901	84
ENSMUSG00000001909	1595
ENSMUSG00000001910	3797
ENSMUSG00000001911	3776
ENSMUSG00000001918	46
ENSMUSG00000001924	9956
ENSMUSG00000001930	508
ENSMUSG00000001942	568
ENSMUSG00000001943	422
ENSMUSG00000001946	522
ENSMUSG00000001948	109
ENSMUSG00000001962	737
ENSMUSG00000001964	980
ENSMUSG00000001983	274
ENSMUSG00000001985	2928
ENSMUSG00000001986	6556
ENSMUSG00000001988	377
ENSMUSG00000001995	1198
ENSMUSG00000001998	170
ENSMUSG00000001999	402
ENSMUSG00000002006	4239
ENSMUSG00000002007	134
ENSMUSG00000002010	4281
ENSMUSG00000002012	2024
ENSMUSG00000002014	1197
ENSMUSG00000002015	1769
ENSMUSG00000002017	1398
ENSMUSG00000002020	24
ENSMUSG00000002028	2786
ENSMUSG00000002031	1489
ENSMUSG00000002032	1205
ENSMUSG00000002033	1
ENSMUSG00000002043	233
ENSMUSG00000002052	5147
ENSMUSG00000002055	304
ENSMUSG00000002057	0
ENSMUSG00000002058	906
ENSMUSG00000002059	321
ENSMUSG00000002064	1110
ENSMUSG00000002068	503
ENSMUSG00000002076	19
ENSMUSG00000002083	160
ENSMUSG00000002100	15
ENSMUSG00000002102	5380
ENSMUSG00000002103	1939
ENSMUSG00000002104	12
ENSMUSG00000002105	542
ENSMUSG00000002107	7201
ENSMUSG00000002108	84
ENSMUSG00000002109	176
ENSMUSG00000002111	92
ENSMUSG00000002129	2110
ENSMUSG00000002147	368
ENSMUSG00000002190	327
ENSMUSG00000002204	16
ENSMUSG00000002205	603
ENSMUSG00000002210	1073
ENSMUSG00000002221	1197
ENSMUSG00000002222	2857
ENSMUSG00000002227	213
ENSMUSG00000002228	6
ENSMUSG00000002233	540
ENSMUSG00000002240	0
ENSMUSG00000002249	78
ENSMUSG00000002250	583
ENSMUSG00000002257	64
ENSMUSG00000002265	5661
ENSMUSG00000002266	68
ENSMUSG00000002274	997
ENSMUSG00000002279	520
ENSMUSG00000002280	812
ENSMUSG00000002289	103
ENSMUSG00000002297	41
ENSMUSG00000002307	578
ENSMUSG00000002308	398
ENSMUSG00000002319	2089
ENSMUSG00000002320	560
ENSMUSG00000002324	0
ENSMUSG00000002325	343
ENSMUSG00000002326	674
ENSMUSG00000002329	1505
ENSMUSG00000002332	1954
ENSMUSG00000002341	6193
ENSMUSG00000002342	826
ENSMUSG00000002343	758
ENSMUSG00000002345	697
ENSMUSG00000002346	726
ENSMUSG00000002365	271
ENSMUSG00000002372	2492
ENSMUSG00000002379	2524
ENSMUSG00000002384	4
ENSMUSG00000002393	286
ENSMUSG00000002395	1674
ENSMUSG00000002396	585
ENSMUSG00000002409	539
ENSMUSG00000002413	2744
ENSMUSG00000002416	1240
ENSMUSG00000002428	550
ENSMUSG00000002455	1914
ENSMUSG00000002458	634
ENSMUSG00000002459	865
ENSMUSG00000002475	1138
ENSMUSG00000002477	665
ENSMUSG00000002486	234
ENSMUSG00000002489	1826
ENSMUSG00000002496	2875
ENSMUSG00000002500	3
ENSMUSG00000002504	1222
ENSMUSG00000002524	4581
ENSMUSG00000002546	3128
ENSMUSG00000002550	655
ENSMUSG00000002565	3
ENSMUSG00000002578	365
ENSMUSG00000002580	2006
ENSMUSG00000002588	1
ENSMUSG00000002602	1326
ENSMUSG00000002603	143
ENSMUSG00000002608	1522
ENSMUSG00000002617	377
ENSMUSG00000002625	3140
ENSMUSG00000002633	49
ENSMUSG00000002635	293
ENSMUSG00000002658	2648
ENSMUSG00000002660	1526
ENSMUSG00000002661	263
ENSMUSG00000002664	17
ENSMUSG00000002668	29
ENSMUSG00000002679	375
ENSMUSG00000002688	313
ENSMUSG00000002699	70
ENSMUSG00000002718	1794
ENSMUSG00000002728	901
ENSMUSG00000002731	319
ENSMUSG00000002732	62
ENSMUSG00000002733	876
ENSMUSG00000002741	2818
ENSMUSG00000002748	2954
ENSMUSG00000002763	2317
ENSMUSG00000002767	847
ENSMUSG00000002768	2465
ENSMUSG00000002769	6
ENSMUSG00000002771	552
ENSMUSG00000002778	1630
ENSMUSG00000002781	506
ENSMUSG00000002797	373
ENSMUSG00000002799	1035
ENSMUSG00000002803	1943
ENSMUSG00000002804	169
ENSMUSG00000002808	3032
ENSMUSG00000002812	1500
ENSMUSG00000002814	81
ENSMUSG00000002820	665
ENSMUSG00000002825	270
