gene	exgf1.bam
ENSMUSG00000000001	855
ENSMUSG00000000003	0
ENSMUSG00000000028	31
ENSMUSG00000000037	20
ENSMUSG00000000049	18
ENSMUSG00000000056	1543
ENSMUSG00000000058	467
ENSMUSG00000000078	1842
ENSMUSG00000000085	1106
ENSMUSG00000000088	2789
ENSMUSG00000000093	38
ENSMUSG00000000094	12
ENSMUSG00000000103	0
ENSMUSG00000000120	5
ENSMUSG00000000125	37
ENSMUSG00000000126	925
ENSMUSG00000000127	573
ENSMUSG00000000131	2461
ENSMUSG00000000134	1387
ENSMUSG00000000142	653
ENSMUSG00000000148	469
ENSMUSG00000000149	1592
ENSMUSG00000000154	12
ENSMUSG00000000157	0
ENSMUSG00000000159	12
ENSMUSG00000000167	99
ENSMUSG00000000168	2441
ENSMUSG00000000171	2682
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	1841
ENSMUSG00000000194	1515
ENSMUSG00000000197	3581
ENSMUSG00000000202	380
ENSMUSG00000000204	0
ENSMUSG00000000214	78
ENSMUSG00000000215	0
ENSMUSG00000000216	2
ENSMUSG00000000223	2923
ENSMUSG00000000244	2
ENSMUSG00000000247	1234
ENSMUSG00000000248	0
ENSMUSG00000000253	1150
ENSMUSG00000000263	5
ENSMUSG00000000266	681
ENSMUSG00000000275	189
ENSMUSG00000000276	2646
ENSMUSG00000000278	402
ENSMUSG00000000282	905
ENSMUSG00000000290	123
ENSMUSG00000000295	326
ENSMUSG00000000296	519
ENSMUSG00000000301	37
ENSMUSG00000000303	112
ENSMUSG00000000305	627
ENSMUSG00000000308	8796
ENSMUSG00000000317	96
ENSMUSG00000000318	44
ENSMUSG00000000320	28
ENSMUSG00000000325	945
ENSMUSG00000000326	1756
ENSMUSG00000000339	1364
ENSMUSG00000000340	563
ENSMUSG00000000346	3141
ENSMUSG00000000355	1069
ENSMUSG00000000359	13
ENSMUSG00000000365	4
ENSMUSG00000000374	2808
ENSMUSG00000000378	980
ENSMUSG00000000381	0
ENSMUSG00000000384	728
ENSMUSG00000000385	0
ENSMUSG00000000386	12
ENSMUSG00000000392	138
ENSMUSG00000000394	2
ENSMUSG00000000399	2770
ENSMUSG00000000402	27
ENSMUSG00000000409	38
ENSMUSG00000000411	0
ENSMUSG00000000416	2624
ENSMUSG00000000420	1456
ENSMUSG00000000435	0
ENSMUSG00000000439	759
ENSMUSG00000000440	177
ENSMUSG00000000441	868
ENSMUSG00000000486	36
ENSMUSG00000000489	757
ENSMUSG00000000530	494
ENSMUSG00000000531	1376
ENSMUSG00000000532	4449
ENSMUSG00000000538	9681
ENSMUSG00000000544	0
ENSMUSG00000000552	1515
ENSMUSG00000000555	64
ENSMUSG00000000560	3611
ENSMUSG00000000561	1389
ENSMUSG00000000562	32
ENSMUSG00000000563	5372
