gene	gf4.bam
ENSMUSG00000000001	749
ENSMUSG00000000003	0
ENSMUSG00000000028	45
ENSMUSG00000000037	11
ENSMUSG00000000049	6
ENSMUSG00000000056	1072
ENSMUSG00000000058	312
ENSMUSG00000000078	1132
ENSMUSG00000000085	842
ENSMUSG00000000088	2056
ENSMUSG00000000093	17
ENSMUSG00000000094	10
ENSMUSG00000000103	0
ENSMUSG00000000120	18
ENSMUSG00000000125	24
ENSMUSG00000000126	591
ENSMUSG00000000127	386
ENSMUSG00000000131	1954
ENSMUSG00000000134	920
ENSMUSG00000000142	594
ENSMUSG00000000148	348
ENSMUSG00000000149	1390
ENSMUSG00000000154	6
ENSMUSG00000000157	0
ENSMUSG00000000159	9
ENSMUSG00000000167	66
ENSMUSG00000000168	1739
ENSMUSG00000000171	1828
ENSMUSG00000000182	3
ENSMUSG00000000183	0
ENSMUSG00000000184	1885
ENSMUSG00000000194	1017
ENSMUSG00000000197	2613
ENSMUSG00000000202	274
ENSMUSG00000000204	0
ENSMUSG00000000214	75
ENSMUSG00000000215	0
ENSMUSG00000000216	3
ENSMUSG00000000223	1996
ENSMUSG00000000244	4
ENSMUSG00000000247	1060
ENSMUSG00000000248	0
ENSMUSG00000000253	920
ENSMUSG00000000263	3
ENSMUSG00000000266	465
ENSMUSG00000000275	125
ENSMUSG00000000276	1912
ENSMUSG00000000278	287
ENSMUSG00000000282	875
ENSMUSG00000000290	94
ENSMUSG00000000295	165
ENSMUSG00000000296	476
ENSMUSG00000000301	37
ENSMUSG00000000303	105
ENSMUSG00000000305	561
ENSMUSG00000000308	6319
ENSMUSG00000000317	52
ENSMUSG00000000318	35
ENSMUSG00000000320	18
ENSMUSG00000000325	749
ENSMUSG00000000326	1484
ENSMUSG00000000339	1015
ENSMUSG00000000340	358
ENSMUSG00000000346	2476
ENSMUSG00000000355	782
ENSMUSG00000000359	12
ENSMUSG00000000365	1
ENSMUSG00000000374	2128
ENSMUSG00000000378	792
ENSMUSG00000000381	0
ENSMUSG00000000384	545
ENSMUSG00000000385	0
ENSMUSG00000000386	1
ENSMUSG00000000392	72
ENSMUSG00000000394	2
ENSMUSG00000000399	1981
ENSMUSG00000000402	13
ENSMUSG00000000409	42
ENSMUSG00000000411	0
ENSMUSG00000000416	1788
ENSMUSG00000000420	970
ENSMUSG00000000435	0
ENSMUSG00000000439	494
ENSMUSG00000000440	131
ENSMUSG00000000441	662
ENSMUSG00000000486	27
ENSMUSG00000000489	805
ENSMUSG00000000530	376
ENSMUSG00000000531	1717
ENSMUSG00000000532	3145
ENSMUSG00000000538	6685
ENSMUSG00000000544	1
ENSMUSG00000000552	1302
ENSMUSG00000000555	63
ENSMUSG00000000560	2909
ENSMUSG00000000561	1092
ENSMUSG00000000562	6
ENSMUSG00000000563	4027
ENSMUSG00000000567	395
ENSMUSG00000000568	2942
ENSMUSG00000000579	3
ENSMUSG00000000581	610
ENSMUSG00000000594	1510
ENSMUSG00000000600	966
ENSMUSG00000000605	4392
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	989
ENSMUSG00000000628	70
ENSMUSG00000000631	4430
ENSMUSG00000000632	5181
ENSMUSG00000000673	0
ENSMUSG00000000682	25
ENSMUSG00000000686	1
ENSMUSG00000000690	0
ENSMUSG00000000693	92
ENSMUSG00000000701	0
ENSMUSG00000000706	1
ENSMUSG00000000708	345
ENSMUSG00000000711	2667
ENSMUSG00000000724	1
ENSMUSG00000000730	1
ENSMUSG00000000731	1
ENSMUSG00000000732	51
ENSMUSG00000000738	963
ENSMUSG00000000739	2
ENSMUSG00000000740	132
ENSMUSG00000000743	1579
ENSMUSG00000000751	934
ENSMUSG00000000753	279
ENSMUSG00000000759	880
ENSMUSG00000000766	17
ENSMUSG00000000776	552
ENSMUSG00000000782	81
ENSMUSG00000000787	5058
ENSMUSG00000000791	7
ENSMUSG00000000792	182
ENSMUSG00000000794	509
ENSMUSG00000000804	4266
ENSMUSG00000000805	777
ENSMUSG00000000811	142
ENSMUSG00000000817	1
ENSMUSG00000000823	1067
ENSMUSG00000000826	7643
ENSMUSG00000000827	1177
ENSMUSG00000000838	1529
ENSMUSG00000000861	2057
ENSMUSG00000000869	254
ENSMUSG00000000876	360
ENSMUSG00000000881	5824
ENSMUSG00000000884	98
ENSMUSG00000000889	20
ENSMUSG00000000901	15
ENSMUSG00000000902	1123
ENSMUSG00000000903	0
ENSMUSG00000000915	1880
ENSMUSG00000000916	136
ENSMUSG00000000934	310
ENSMUSG00000000938	0
ENSMUSG00000000942	0
ENSMUSG00000000948	126
ENSMUSG00000000957	329
ENSMUSG00000000958	33
ENSMUSG00000000959	811
ENSMUSG00000000976	276
ENSMUSG00000000982	1
ENSMUSG00000000983	12
ENSMUSG00000001014	38
ENSMUSG00000001016	1637
ENSMUSG00000001017	2363
ENSMUSG00000001018	938
ENSMUSG00000001020	1
ENSMUSG00000001021	3
ENSMUSG00000001023	3
ENSMUSG00000001025	324
ENSMUSG00000001027	0
ENSMUSG00000001029	71
ENSMUSG00000001034	301
ENSMUSG00000001036	2378
ENSMUSG00000001039	276
ENSMUSG00000001052	1203
ENSMUSG00000001053	393
ENSMUSG00000001054	894
ENSMUSG00000001056	652
ENSMUSG00000001062	920
ENSMUSG00000001065	224
ENSMUSG00000001076	2
ENSMUSG00000001082	209
ENSMUSG00000001089	2089
ENSMUSG00000001095	0
ENSMUSG00000001098	698
ENSMUSG00000001100	2244
ENSMUSG00000001103	95
ENSMUSG00000001105	1046
ENSMUSG00000001119	1159
ENSMUSG00000001120	1049
ENSMUSG00000001123	157
ENSMUSG00000001127	2468
ENSMUSG00000001128	80
ENSMUSG00000001131	17
ENSMUSG00000001134	50
ENSMUSG00000001138	505
ENSMUSG00000001143	702
ENSMUSG00000001150	1249
ENSMUSG00000001151	745
ENSMUSG00000001155	1
ENSMUSG00000001156	444
ENSMUSG00000001157	495
ENSMUSG00000001158	755
ENSMUSG00000001166	23
ENSMUSG00000001168	1
ENSMUSG00000001173	1661
ENSMUSG00000001175	74029
ENSMUSG00000001211	5823
ENSMUSG00000001225	1
ENSMUSG00000001227	1989
ENSMUSG00000001228	35
ENSMUSG00000001229	1490
ENSMUSG00000001240	259
ENSMUSG00000001247	198
ENSMUSG00000001248	2173
ENSMUSG00000001249	7
ENSMUSG00000001260	546
ENSMUSG00000001270	11709
ENSMUSG00000001280	541
ENSMUSG00000001281	9
ENSMUSG00000001285	355
ENSMUSG00000001288	170
ENSMUSG00000001289	2200
ENSMUSG00000001300	1346
ENSMUSG00000001305	192
ENSMUSG00000001313	1949
ENSMUSG00000001323	1563
ENSMUSG00000001333	24
ENSMUSG00000001334	1594
ENSMUSG00000001348	9
ENSMUSG00000001349	15
ENSMUSG00000001366	1739
ENSMUSG00000001376	1633
ENSMUSG00000001380	2785
ENSMUSG00000001383	6450
ENSMUSG00000001403	14
ENSMUSG00000001415	2375
ENSMUSG00000001416	2327
ENSMUSG00000001418	692
ENSMUSG00000001419	5467
ENSMUSG00000001420	11
ENSMUSG00000001424	1440
ENSMUSG00000001435	139
ENSMUSG00000001436	260
ENSMUSG00000001440	4434
ENSMUSG00000001441	3420
ENSMUSG00000001444	2
ENSMUSG00000001445	1005
ENSMUSG00000001467	1608
ENSMUSG00000001472	17304
ENSMUSG00000001473	66
ENSMUSG00000001482	1017
ENSMUSG00000001493	18
ENSMUSG00000001494	1
ENSMUSG00000001496	1
ENSMUSG00000001497	0
ENSMUSG00000001504	0
ENSMUSG00000001506	229
ENSMUSG00000001507	401
ENSMUSG00000001508	1
ENSMUSG00000001510	1
ENSMUSG00000001517	36
ENSMUSG00000001518	390
ENSMUSG00000001520	177
ENSMUSG00000001521	242
ENSMUSG00000001524	175
ENSMUSG00000001525	13446
ENSMUSG00000001542	647
ENSMUSG00000001552	1008
ENSMUSG00000001555	121
ENSMUSG00000001558	1
ENSMUSG00000001566	0
ENSMUSG00000001569	722
ENSMUSG00000001576	2669
ENSMUSG00000001583	1
ENSMUSG00000001588	2
ENSMUSG00000001604	7
ENSMUSG00000001622	0
ENSMUSG00000001627	1023
ENSMUSG00000001630	403
ENSMUSG00000001632	768
ENSMUSG00000001642	70
ENSMUSG00000001655	0
ENSMUSG00000001656	0
ENSMUSG00000001657	0
ENSMUSG00000001661	0
ENSMUSG00000001663	108
ENSMUSG00000001665	24
ENSMUSG00000001666	307
ENSMUSG00000001670	1
ENSMUSG00000001672	3
ENSMUSG00000001674	164
ENSMUSG00000001687	2739
ENSMUSG00000001700	322
ENSMUSG00000001707	344
